,Decade,Year,Country,Area,Location,Injury,Fatal (Y/N)
78,2010,2017.0,AUSTRALIA,Western Australia,Gracetown,"No injury, board damaged by shark",N
80,2010,2017.0,USA,Florida,Fort Worth,Laceration to upper arm,N
81,2010,2017.0,USA,Florida,Palm Beach County,Minor lacerations to sole of left foot,N
82,2010,2017.0,SPAIN,Canary Islands,Gran Canaria ,Lacerations to right foot,N
83,2010,2017.0,USA,Florida,"Ponce Inlet, Volusia County",Lacerations to left foot,N
86,2010,2017.0,AUSTRALIA,Westerm Australia,Esperance,"sharks rammed boats, no injury to occupants",N
87,2010,2017.0,USA,Florida,"Ponce Inlet, Volusia County",Lacerations to left foot,N
88,2010,2017.0,AUSTRALIA,Westerm Australia,Sam's Creek area,Minor injuries,N
89,2010,2017.0,AUSTRALIA,New South Wales,Iluka Beach,Minor lacerations to right hip,N
90,2010,2017.0,SOLOMON ISLANDS,,Owarigi Island,Foot bitten,N
91,2010,2017.0,SOUTH AFRICA,Western Cape Province,Dyer Island,FATAL,Y
92,2010,2017.0,JAPAN,Shizuoka Prefecture,Iwata City,Injury to ankle & feet,N
93,2010,2017.0,USA,Florida,"Marathon, Monroe County",Lacerations to abdomen,N
94,2010,2017.0,USA,Texas,"South Padre Island, Cameron County",Lacerations to foot,N
95,2010,2017.0,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to right hand,N
96,2010,2017.0,AUSTRALIA,Victoria,Cathedral Rock,"No injury, board bitten",N
97,2010,2017.0,USA,Florida,Bathtub Beach ,Leg injured,N
99,2010,2017.0,NEW ZEALAND,North Island,Off Tutukaka,"No injury, shark bit canoe",N
100,2010,2017.0,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",Not injured by shark but board bitten,N
101,2010,2017.0,BAHAMAS,,,Hand injured,N
102,2010,2017.0,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Minor cuts to sole & toes of left foot,N
103,2010,2017.0,EGYPT,Red Sea Protectorate,Marsa Ghalib,Bite to right leg/hip,N
104,2010,2017.0,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Foot bitten by landed shark PROVOKED INCIDENT,N
105,2010,2017.0,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County","No injury, bow of kayak bitten",N
106,2010,2017.0,USA,Florida,"Jacksonvlle, Duval County",Lacerations to lower leg,N
108,2010,2017.0,USA,South Carolina,"DeBordieu Colony, Georgetown County",Bite to left thigh / minor injury,N
109,2010,2017.0,BAHAMAS,New Providence District,Rose Island,Foot & ankle injured,N
110,2010,2017.0,BAHAMAS,40 miles off Grand Bahama Island,,Severe lacerations to left hand,N
112,2010,2017.0,USA,New Jersey,Ventnor,Minor injury to hand,N
113,2010,2017.0,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Abrasion to arm from shark's rough skin,N
114,2010,2017.0,USA,Florida,"Snipes Point, Monroe County",Foot bitten,N
116,2010,2017.0,USA,California,"Stearns Wharf, Santa Barbara","No injury, kayak bitten",N
117,2010,2017.0,USA,California,"Seal Rock, Goleta Beach, Santa Barbara","No injury, shark bit paddleboard",N
118,2010,2017.0,USA,Washington,"South Beach, Westport, Grays Harbor County",Pulled off board by shark but no injury,N
119,2010,2017.0,AUSTRALIA,Western Australia,Floreat Beach,"Minor injury, grazed by shark",N
120,2010,2017.0,USA,California,"Santa Cruz, Santa Cruz County","No injury, kayak bitten",N
121,2010,2017.0,USA,Florida,"Haulover Beach, Miami-Dade County",Lower legs bitten,N
122,2010,2017.0,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Hand bitten by hooked shark PROVOKED INCIDENT,N
123,2010,2017.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London","No injury, shark bit surfboard",N
126,2010,2017.0,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Left foot bitten,N
127,2010,2017.0,USA,Florida,"Singer Island, Palm Beach County",1 to 2-inch laceration behind knee,N
128,2010,2017.0,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Leg bitten,N
129,2010,2017.0,REUNION,,Roches Noire,"No injury, shark bit surfboard ",N
130,2010,2017.0,SPAIN,Ibiza Island,Playa den Bossa,2-inch laceration to hand,N
131,2010,2017.0,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Injuries to hand and wrist,N
132,2010,2017.0,BAHAMAS,,,Fingernail pulled off ,N
133,2010,2017.0,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury","No injury, board bitten",N
134,2010,2017.0,AUSTRALIA,Victoria,"Flinders, Mornington Penisula","No injury, knocked off board",N
135,2010,2017.0,USA,Florida,"Ponce Inlet, Volusia County",Laceration to left foot,N
137,2010,2017.0,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Laceration to shin,N
138,2010,2017.0,BAHAMAS,New Providence ,Athol Island,Right forearm severed ,N
139,2010,2017.0,USA,South Carolina,"Awendaw, Charleston County",Right hand bitten by hooked shark PROVOKED INCIDENT,N
140,2010,2017.0,USA,Florida,Off Jupiter,Lacerations to right arm,N
141,2010,2017.0,AUSTRALIA,New South Wales,Evans Head,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N
143,2010,2017.0,AUSTRALIA,Queensland,Weipa,Thigh nipped PROVOKED INCIDENT,N
144,2010,2017.0,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",FATAL,Y
146,2010,2017.0,USA,California,"San Onofre, San Diego County ",Major injury to posterior thigh,N
147,2010,2017.0,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Minor injury to right calf,N
148,2010,2017.0,USA,South Carolina,"Folly Beach, Charleston County",Left foot bitten,N
149,2010,2017.0,REUNION,Saint-Leu,Pointe au Sal,FATAL,Y
150,2010,2017.0,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Puncture wounds & laceration above knee,N
154,2010,2017.0,USA,Florida,"Daytona Beach, Volusia County",Minor bite to the foot,N
155,2010,2017.0,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,FATAL,Y
156,2010,2017.0,USA,Hawaii,"Kekaha Beach, Kauai",Lower right leg severely injured,N
157,2010,2017.0,USA,Florida,"Hanna Park, Jacksonville, Duval County",Lacerations to right foot,N
158,2010,2017.0,USA,Florida,St. Augustine,Lacerations to right foot,N
160,2010,2017.0,USA,Florida,"Ormond Beach, Volusia County",Calf bitten,N
161,2010,2017.0,USA,Florida,"Melbourne Beach, Brevard County",Laceration to calf,N
162,2010,2017.0,USA,Florida,"Melbourne Beach, Brevard County",Minor injury to left hand,N
163,2010,2017.0,USA,Florida,"Daytona, Volusia County",Foot injured,N
164,2010,2017.0,USA,Florida,"New Smyrna Beach, Volusia County","Thigh nipped, minor injury",N
165,2010,2017.0,AUSTRALIA,Queensland,Moreton Bay,"No injury, shark bit off stern of kayak",N
166,2010,2017.0,USA,Florida,"Destin, Okaloosa County",Lacerations to thighs,N
167,2010,2017.0,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to left foot,N
168,2010,2017.0,AUSTRALIA,New South Wales,The Farm,Minor,N
169,2010,2017.0,USA,California,Monterey Bay,"No injury, kayak bitten",N
170,2010,2017.0,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Right thigh injured ,N
171,2010,2017.0,BAHAMAS,Great Exuma,,Abrasions & lacerations to left leg and hand,N
172,2010,2017.0,AUSTRALIA,Western Australia,Mauds Point,Hand bitten,N
173,2010,2017.0,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah","No injury, shark struck board",N
174,2010,2017.0,REUNION,Saint-Andre,,Fatal,Y
175,2010,2017.0,AUSTRALIA,Queensland,Eva Rock,Left leg severely bitten,N
176,2010,2017.0,USA,Florida,"Melbourne Beach, Brevard County",Injury to hand,N
177,2010,2017.0,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,"Minor injury to finger, PROVOKED INCIDENT",N
178,2010,2017.0,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,"Shark damaged kayak, no injury to occupant",N
179,2010,2017.0,USA,South Carolina,16 miles off Hilton Head,"Shark bit boat, no injury to occupants",N
180,2010,2017.0,BAHAMAS,Bimini,,Lacerations to upper right arm,N
181,2010,2017.0,BRAZIL,Pernambuco,"Boa Viagem, Recife",Minor laceration to ring finger,N
182,2010,2017.0,USA,Florida,"Vero Beach, Indian River County",Puncture wounds to lower arm or hand,N
183,2010,2017.0,AUSTRALIA,Queensland,"Boot Reef, Torres Strait","Multiple injuries to arm, wrist and torso",N
184,2010,2017.0,AUSTRALIA,Queensland,Clairview,Injury to hand,N
185,2010,2017.0,USA,Florida,Jensen Beach,Minor injury to hand,N
186,2010,2017.0,INDONESIA,Bali,Balian Beach,Injury to right wrist & forearm,N
188,2010,2017.0,USA,Florida,"Blockhouse Beach, Brevard County",Minor injuries to foot,N
190,2010,2016.0,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Lacerations to right forearm,N
191,2010,2016.0,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Buttock bitten,N
192,2010,2016.0,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay","No injury, but ski severely damaged",N
193,2010,2016.0,AUSTRALIA,Western Australia,Trigg Beach,Punctures to left foot/ankle,N
194,2010,2016.0,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,Hand injured?,N
196,2010,2016.0,AUSTRALIA,New South Wales,Merimbula,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N
197,2010,2016.0,AUSTRALIA,New South Wales,Booti Booti National Park,Injuries to foot & arm,N
198,2010,2016.0,AUSTRALIA,Victoria,Queenscliff,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N
199,2010,2016.0,USA,Hawaii,"Kamaole Beach Park I, Maui",Injuries to right calf and thigh,N
200,2010,2016.0,USA,Florida,"Mayport Naval Station Beach, Duval County",Lacerations to right foot and ankle,N
201,2010,2016.0,USA,Florida,Mayport Naval Station  Duval County,Lacerations to right hand,N
202,2010,2016.0,AUSTRALIA,New South Wales,Broken Head Beach,Lacerations to left thigh,N
203,2010,2016.0,USA,Hawaii,"Hooipa Beach Park, Maui",Left arm and leg injured,N
204,2010,2016.0,AUSTRALIA,Queensland,"Kings Beach, Caloundra",Torso nipped,N
205,2010,2016.0,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",Injuries to left calf,N
207,2010,2016.0,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Minor wound to lower right leg & surfboard bitten,N
208,2010,2016.0,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Wounds to upper thigh and lower leg,N
209,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Cuts to dorsal surface of left foot,N
210,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Minor injuries,N
211,2010,2016.0,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",4 deep lacerations to thigh,N
212,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to thigh,N
213,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations to hands,N
214,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations to lower leg,N
215,2010,2016.0,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County","No injury, board bitten",N
216,2010,2016.0,AUSTRALIA,Victoria,Thirteenth Beach,Struck by fin on chest & leg,N
217,2010,2016.0,AUSTRALIA,Victoria,Bells Beach,No injury: Knocked off board by shark,N
218,2010,2016.0,AUSTRALIA,Western Australia,Bunbury,Shark rammed boat. No injury to occupant,N
219,2010,2016.0,USA,Florida,"Ponte Vedra, St. Johns County",Minor injury to arm,N
220,2010,2016.0,USA,Hawaii,"Makaha, Oahu",Severe lacerations to shoulder & forearm,N
221,2010,2016.0,NEW CALEDONIA,North Province,Koumac,FATAL,Y
222,2010,2016.0,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",Lacerations & punctures to lower right leg,N
223,2010,2016.0,AUSTRALIA,Western Australia,Injidup ,"No inury, board broken in half by shark",N
224,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Foot bitten,N
225,2010,2016.0,USA,California,"Refugio State Beach, Santa Barbara County",Two toes broken & lacerated,N
227,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Lacerations to right foot,N
228,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to ankle,N
229,2010,2016.0,REUNION,,Boucan Canot,"Right arm severed, ankle severely bitten ",N
230,2010,2016.0,USA,Florida,"Ponte Vedra, St. Johns County",Minor injury to ankle,N
231,2010,2016.0,BAHAMAS,New Providence Island,Nassau,Lacerations to left leg,N
232,2010,2016.0,USA,Hawaii,Maui,"No inury, shark & board collided",N
233,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Big toe bitten,N
234,2010,2016.0,SPAIN,Alicante Province,Arenales del Sol,Lacerations to right hand,N
236,2010,2016.0,AUSTRALIA,Western Australia,Near Albany,"No injury, shark nudged kayak repeatedly",N
237,2010,2016.0,USA,Florida,"Florida Keys, Monroe County",Laceration to left forearm PROVOKED INCIDENT,N
238,2010,2016.0,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina","No injury. Leg rope severed, knocked off board by shark",N
239,2010,2016.0,JAPAN,Kochi Prefecture,Irino Beach,Lacerations to left leg,N
240,2010,2016.0,AUSTRALIA,Tasmania,Clifton Beach,Calf bumped but no injury,N
241,2010,2016.0,BAHAMAS,Abaco Islands,Green Turtle Cay,Lacerations to face and right leg,N
242,2010,2016.0,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",Laceration to left calf from hooked shark PROVOKED INCIDENT,N
243,2010,2016.0,USA,Alabama,8 miles off Mobile,"No injury, shark bit trolling motor",N
244,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to leg,N
245,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to toes,N
246,2010,2016.0,USA,California,"Surfside, Orange County","No injury, board damaged",N
247,2010,2016.0,USA,South Carolina,"North Myrtle Beach, Horry County",Puncture wounds to foot,N
248,2010,2016.0,BAHAMAS,,Tiger Beach,Face bruised when partly blind shark collided with him,N
249,2010,2016.0,SPAIN,Canary Islands,"Las Teresitas, Tenerife","5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N
250,2010,2016.0,USA,California,"Capitola, Santa Cruz County","No injury. Hull bitten, tooth fragment recovered",N
251,2010,2016.0,USA,Massachusetts,"Off Gloucester, Essec County",Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N
252,2010,2016.0,USA,California,"Off Palos Verdes peninsula, Los Angeles County","No injury. Hull bitten, tooth fragment recovered",N
253,2010,2016.0,USA,Florida,"Melbourne Beach, Brevard County","Buttocks, thigh, left hand & wrist injured",N
254,2010,2016.0,AUSTRALIA,Queensland,Palm Cove ,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N
255,2010,2016.0,USA,South Carolina,Sullivan's Island,Minor injury,N
256,2010,2016.0,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Foot injured,N
258,2010,2016.0,SOUTH AFRICA,Western Cape Province,Ryspunt,Injuries to left leg & right hand,N
259,2010,2016.0,USA,South Carolina,"North Myrtle Beach, Horry County",Lacerations and punctures to foot,N
260,2010,2016.0,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Injuries to right calf,N
261,2010,2016.0,USA,Hawaii,"Kalapaki Beach, Kauai",Single puncture wound to arm,N
262,2010,2016.0,AUSTRALIA,Western Australia,Coral Bay,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N
263,2010,2016.0,USA,Texas,"Pirates Beach, Galveston",Injury to lower leg,N
264,2010,2016.0,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",Laceration to wrist,N
266,2010,2016.0,USA,Florida,"Flagler Beach, Flagler County",Leg bitten,N
267,2010,2016.0,AUSTRALIA,Western Australia,Mindarie,FATAL,Y
268,2010,2016.0,EGYPT,Suez,Ain Sokhna,"Leg severely bitten, surgically amputated",N
270,2010,2016.0,NEW CALEDONIA,," Côte-Blanche, Nouméa ",Laceration to heel,N
271,2010,2016.0,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",FATAL,Y
272,2010,2016.0,USA,California,"Corona Del Mar, Newport, Orange County",Injuries to arm and shoulder,N
273,2010,2016.0,USA,Florida,"Neptune, Duval County",Injury to posterior right leg,N
274,2010,2016.0,USA,Florida,"Vero Beach, Indian River County",Puncture wounds to thigh,N
275,2010,2016.0,USA,Florida,"St. Petersburg, Pinellas County",Lacerations and puncture wounds to foot and ankle,N
276,2010,2016.0,USA,Florida,"Hugenot Beach , Jacksonville, Duval County","Back, arm & hand injured",N
277,2010,2016.0,USA,Florida,"Ponte Vedra, St. Johns County",Ankle bitten,N
278,2010,2016.0,USA,Florida,"Boca Raton, Palm Beach County",Arm grabbed PROVOKED INCIDENT,N
279,2010,2016.0,USA,Hawaii,"Wailea Beach, Maui",Minor lacerations to right shoulder,N
280,2010,2016.0,NEW ZEALAND,North Island,Cormandel,Foot bitten by landed shark PROVOKED INCIDENT,N
281,2010,2016.0,INDONESIA,Bali,Balian,Elbow bitten,N
282,2010,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to left foot,N
283,2010,2016.0,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay","No injury, surf-ski bitten",N
284,2010,2016.0,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",Minor puncture wound to foot,N
285,2010,2016.0,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,Laceration to knee by speared shark PROVOKED INCIDENT,UNKNOWN
286,2010,2016.0,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N
287,2010,2016.0,USA,Florida,"Off Singer Island, Palm Beach County",Multiple bites to right arm,N
288,2010,2016.0,NEW CALEDONIA,Grand Terre,Poe Beach,FATAL,Y
290,2010,2016.0,USA,Florida,"Florida Keys, Monroe County",Left hand bitten,N
292,2010,2016.0,USA,Hawaii,"Olowalu, Maui",Minor injury to left foot,N
293,2010,2016.0,AUSTRALIA,New South Wales,Bombo Beach,Severe injury to thigh,N
295,2010,2016.0,AUSTRALIA,New South Wales,North Cronulla Beach,"No injury, board dented",N
296,2010,2016.0,BAHAMAS,,,Minor injury to chest PROVOKED INCIDENT,N
298,2010,2016.0,USA,Florida,"Vero Beach, St. Lucie County",Lacerations to right foot and ankle,N
300,2010,2016.0,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Superficial injury to foot,N
301,2010,2016.0,AUSTRALIA,South Australia,Wrights Bay,Puncture wounds to right calf,N
302,2010,2016.0,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,Minor injury to head,N
303,2010,2016.0,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",Puncture wounds to right thigh,N
304,2010,2016.0,NEW CALEDONIA,South Province,Yate,Forearm bitten,N
308,2010,2016.0,AUSTRALIA,Queensland,Stradbroke Island,Foot nipped,N
309,2010,2016.0,AUSTRALIA,New South Wales,Hams Beach,"No injury, shark bit board",N
310,2010,2016.0,BRAZIL,Balneário Camboriú,Estaleirinho beach,Lacerations to scalp,N
311,2010,2016.0,SOUTH AFRICA,KwaZulu-Natal,,"No injury, shark capsized kayak",N
312,2010,2016.0,USA,Hawaii,"Hanalei Bay, Kauai",Lacerations to both hands,N
313,2010,2016.0,USA,Hawaii,"Hanalei Bay, Kauai, ",No injury,N
314,2010,2016.0,USA,Texas,Off Surfside,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N
316,2010,2016.0,USA,Hawaii,"Wailea Beach, Maui",No injury,N
317,2010,2016.0,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",Laceration to right foot,N
318,2010,2016.0,AUSTRALIA,Queensland,Heron Island,Laceration to right calf,N
319,2010,2016.0,AUSTRALIA,Queensland,Miall Island,Lacerations to arms & leg,N
320,2010,2015.0,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,"No injury, kayak damaged",N
321,2010,2015.0,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",Lacerations to left forearm,N
322,2010,2015.0,USA,Hawaii,La'aloa Beach Park,"No injury, shark bit board",N
323,2010,2015.0,AUSTRALIA,New South Wales,Bondi Beach,"No injury, shark leapt on surfboard",N
324,2010,2015.0,BRAZIL,Pernambuco,Fernano de Noronha,Right hand & part of forearm removed,N
326,2010,2015.0,AUSTRALIA,New South Wales,Lake Macquarie,"No injury, shark rammed boat & bit motor",N
327,2010,2015.0,BAHAMAS,,Off Andros Island,"Bitten on thigh, abdomen & hand",N
